"","reg","deaths","date","year","weekno"
"532","North West",1797,2011-01-14,2011,2
"533","Yorkshire and The Humber",1268,2011-01-14,2011,2
"534","East Midlands",1158,2011-01-14,2011,2
"535","West Midlands",1390,2011-01-14,2011,2
"536","East",1282,2011-01-14,2011,2
"537","London",1267,2011-01-14,2011,2
"538","South East",2089,2011-01-14,2011,2
"539","South West",1428,2011-01-14,2011,2
"540","Wales",772,2011-01-14,2011,2
"541","North East",584,2011-01-21,2011,3
"542","North West",1555,2011-01-21,2011,3
"543","Yorkshire and The Humber",1095,2011-01-21,2011,3
"544","East Midlands",989,2011-01-21,2011,3
"545","West Midlands",1193,2011-01-21,2011,3
"546","East",1146,2011-01-21,2011,3
"547","London",1067,2011-01-21,2011,3
"548","South East",1826,2011-01-21,2011,3
"549","South West",1320,2011-01-21,2011,3
"550","Wales",638,2011-01-21,2011,3
"551","North East",537,2011-01-28,2011,4
"552","North West",1429,2011-01-28,2011,4
"553","Yorkshire and The Humber",1091,2011-01-28,2011,4
"554","East Midlands",931,2011-01-28,2011,4
"555","West Midlands",986,2011-01-28,2011,4
"556","East",1085,2011-01-28,2011,4
"557","London",1020,2011-01-28,2011,4
"558","South East",1704,2011-01-28,2011,4
"559","South West",1093,2011-01-28,2011,4
"560","Wales",656,2011-01-28,2011,4
"561","North East",556,2011-02-04,2011,5
"562","North West",1366,2011-02-04,2011,5
"563","Yorkshire and The Humber",972,2011-02-04,2011,5
"564","East Midlands",877,2011-02-04,2011,5
"565","West Midlands",1066,2011-02-04,2011,5
"566","East",1120,2011-02-04,2011,5
"567","London",943,2011-02-04,2011,5
"568","South East",1559,2011-02-04,2011,5
"569","South West",1070,2011-02-04,2011,5
"570","Wales",687,2011-02-04,2011,5
"571","North East",526,2011-02-11,2011,6
"572","North West",1359,2011-02-11,2011,6
"573","Yorkshire and The Humber",997,2011-02-11,2011,6
"574","East Midlands",827,2011-02-11,2011,6
"575","West Midlands",1062,2011-02-11,2011,6
"576","East",1032,2011-02-11,2011,6
"577","London",1010,2011-02-11,2011,6
"578","South East",1461,2011-02-11,2011,6
"579","South West",1042,2011-02-11,2011,6
"580","Wales",679,2011-02-11,2011,6
"581","North East",551,2011-02-18,2011,7
"582","North West",1343,2011-02-18,2011,7
"583","Yorkshire and The Humber",992,2011-02-18,2011,7
"584","East Midlands",843,2011-02-18,2011,7
"585","West Midlands",974,2011-02-18,2011,7
"586","East",986,2011-02-18,2011,7
"587","London",927,2011-02-18,2011,7
"588","South East",1503,2011-02-18,2011,7
"589","South West",1011,2011-02-18,2011,7
"590","Wales",609,2011-02-18,2011,7
"591","North East",575,2011-02-25,2011,8
"592","North West",1366,2011-02-25,2011,8
"593","Yorkshire and The Humber",941,2011-02-25,2011,8
"594","East Midlands",756,2011-02-25,2011,8
"595","West Midlands",961,2011-02-25,2011,8
"596","East",947,2011-02-25,2011,8
"597","London",873,2011-02-25,2011,8
"598","South East",1443,2011-02-25,2011,8
"599","South West",972,2011-02-25,2011,8
"600","Wales",580,2011-02-25,2011,8
"601","North East",498,2011-03-04,2011,9
"602","North West",1329,2011-03-04,2011,9
"603","Yorkshire and The Humber",864,2011-03-04,2011,9
