"","week","deaths","age","year","weekno","reg"
"330",2015-06-19,9308,"Total",2015,25,"England & Wales"
"331",2013-07-19,8790,"Total",2013,29,"England & Wales"
"332",2019-07-19,9080,"Total",2019,29,"England & Wales"
"333",2011-08-19,8424,"Total",2011,33,"England & Wales"
"334",2016-08-19,9070,"Total",2016,34,"England & Wales"
"335",2014-09-19,9105,"Total",2014,38,"England & Wales"
"336",2012-10-19,9284,"Total",2012,42,"England & Wales"
"337",2018-10-19,9864,"Total",2018,42,"England & Wales"
"338",2010-11-19,9437,"Total",2010,47,"England & Wales"
"339",2014-12-19,11681,"Total",2014,51,"England & Wales"
"340",2012-01-20,10393,"Total",2012,3,"England & Wales"
"341",2017-01-20,13610,"Total",2017,3,"England & Wales"
"342",2015-02-20,11433,"Total",2015,8,"England & Wales"
"343",2015-03-20,10568,"Total",2015,12,"England & Wales"
"344",2020-03-20,10646,"Total",2020,12,"England & Wales"
"345",2012-04-20,10807,"Total",2012,16,"England & Wales"
"346",2018-04-20,11223,"Total",2018,16,"England & Wales"
"347",2011-05-20,8947,"Total",2011,20,"England & Wales"
"348",2016-05-20,9953,"Total",2016,21,"England & Wales"
"349",2014-06-20,8946,"Total",2014,25,"England & Wales"
"350",2012-07-20,8684,"Total",2012,29,"England & Wales"
"351",2018-07-20,9127,"Total",2018,29,"England & Wales"
"352",2010-08-20,8582,"Total",2010,34,"England & Wales"
"353",2013-09-20,8633,"Total",2013,38,"England & Wales"
"354",2019-09-20,9440,"Total",2019,38,"England & Wales"
"355",2017-10-20,10029,"Total",2017,42,"England & Wales"
"356",2015-11-20,9829,"Total",2015,47,"England & Wales"
"357",2013-12-20,10333,"Total",2013,51,"England & Wales"
"358",2019-12-20,11926,"Total",2019,51,"England & Wales"
"359",2011-01-21,11438,"Total",2011,3,"England & Wales"
"360",2014-02-21,10426,"Total",2014,8,"England & Wales"
"361",2020-02-21,10840,"Total",2020,8,"England & Wales"
"362",2014-03-21,9827,"Total",2014,12,"England & Wales"
"363",2017-04-21,9637,"Total",2017,16,"England & Wales"
"364",2010-05-21,9189,"Total",2010,21,"England & Wales"
"365",2013-06-21,8904,"Total",2013,25,"England & Wales"
"366",2019-06-21,9458,"Total",2019,25,"England & Wales"
"367",2017-07-21,9111,"Total",2017,29,"England & Wales"
"368",2015-08-21,9121,"Total",2015,34,"England & Wales"
